"","Site","Plot","Treatment","Species","PFT","tottally","blanktot","totabun","relabun","Year","type","rawabun","Native.Introduced"
"135","Arboretum","12","2","ARFE","PF",7,0,7,0.170731707317073,2021,"seedbank",NA,"N"
"136","Arboretum","12","2","ELEL","PG3",3,0,3,0.0731707317073171,2021,"seedbank",NA,"N"
"137","Arboretum","12","2","ERSP","A",17,0,17,0.414634146341463,2021,"seedbank",NA,"N"
"138","Arboretum","12","2","SPHA","PF",10,0,10,0.24390243902439,2021,"seedbank",NA,"N"
"139","Arboretum","12","2","TAOF","PF",3,1,2,0.0487804878048781,2021,"seedbank",NA,"I"
"140","Arboretum","12","2","VETH","A",3,4,0,0,2021,"seedbank",NA,"I"
"141","Black Point","1","3","SATR","A",0,0,0,NA,2021,"seedbank",NA,"I"
"142","Black Point","2","3","SATR","A",4,0,4,1,2021,"seedbank",NA,"I"
"143","Black Point","2","3","VETH","A",1,4,0,0,2021,"seedbank",NA,"I"
"144","Black Point","3","1","PLJA","PG4",3,0,3,0.5,2021,"seedbank",NA,"N"
"145","Black Point","3","1","SATR","A",3,0,3,0.5,2021,"seedbank",NA,"I"
"146","Black Point","4","3","BOER","PG4",3,0,3,0.230769230769231,2021,"seedbank",NA,"N"
"147","Black Point","4","3","PLJA","PG4",1,0,1,0.0769230769230769,2021,"seedbank",NA,"N"
"148","Black Point","4","3","SATR","A",2,0,2,0.153846153846154,2021,"seedbank",NA,"I"
"149","Black Point","4","3","SPHA","PF",7,0,7,0.538461538461538,2021,"seedbank",NA,"N"
"150","Black Point","5","1","BOER","PG4",1,0,1,0.25,2021,"seedbank",NA,"N"
"151","Black Point","5","1","CAJA","PF",1,0,1,0.25,2021,"seedbank",NA,"N"
"152","Black Point","5","1","PLJA","PG4",2,0,2,0.5,2021,"seedbank",NA,"N"
"153","Black Point","5","1","SATR","A",0,0,0,0,2021,"seedbank",NA,"I"
"154","Black Point","6","1","SATR","A",1,0,1,1,2021,"seedbank",NA,"I"
"155","Black Point","7","3","ERFL","A",1,0,1,0.0666666666666667,2021,"seedbank",NA,"N"
"156","Black Point","7","3","PLJA","PG4",7,0,7,0.466666666666667,2021,"seedbank",NA,"N"
"157","Black Point","7","3","SATR","A",7,0,7,0.466666666666667,2021,"seedbank",NA,"I"
"158","Black Point","8","1","DAPU","PG4",1,0,1,0.0666666666666667,2021,"seedbank",NA,"N"
"159","Black Point","8","1","ERSP","A",2,0,2,0.133333333333333,2021,"seedbank",NA,"N"
"160","Black Point","8","1","SATR","A",11,0,11,0.733333333333333,2021,"seedbank",NA,"I"
"161","Black Point","8","1","SPHA","PF",1,0,1,0.0666666666666667,2021,"seedbank",NA,"N"
"162","Black Point","9","2","BOER","PG4",1,0,1,0.0434782608695652,2021,"seedbank",NA,"N"
"163","Black Point","9","2","CHSE","A",1,0,1,0.0434782608695652,2021,"seedbank",NA,"N"
"164","Black Point","9","2","PLJA","PG4",1,0,1,0.0434782608695652,2021,"seedbank",NA,"N"
