"","Site","Plot","Treatment","Year","type","POOL","TAOF","VETH","BOER","CHSE","PLJA","SATR","BASC","GUSA","ERSP","SPHA","ACMI","MEMO","PEVI","CAJA","ERFL","DAPU","BOGR","ELEL","MEAL","LUKI","CHER","AMDI","ANRO","BRPO","MUMO","POPR","POHI","ARFE","HYHO","IRMI","OXLA","ARCA","ASHU","CHAL","BLTR"
"33","Juniper savanna","5","Control",2021,"seedbank",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Juniper savanna","6","Water Addition",2021,"seedbank",NA,0,0,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Juniper savanna","7","Control",2021,"seedbank",NA,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Juniper savanna","8","Water Exclusion",2021,"seedbank",NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Juniper savanna","9","Water Addition",2021,"seedbank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Juniper savanna","10","Water Exclusion",2021,"seedbank",NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,NA,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Juniper savanna","11","Water Addition",2021,"seedbank",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Juniper savanna","12","Water Exclusion",2021,"seedbank",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Mixed conifer meadow","1","Control",2021,"seedbank",NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6,NA,NA,NA,NA,27,3,4,52,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Mixed conifer meadow","2","Water Exclusion",2021,"seedbank",NA,NA,96,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,10,NA,2,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Mixed conifer meadow","3","Control",2021,"seedbank",NA,4,138,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,12,1,0,74,2,NA,NA,NA,NA,NA,NA,NA,NA
"44","Mixed conifer meadow","4","Water Addition",2021,"seedbank",NA,NA,93,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,4,NA,4,62,1,1,NA,NA,NA,NA,NA,NA,NA
"45","Mixed conifer meadow","5","Water Exclusion",2021,"seedbank",NA,1,98,NA,NA,NA,NA,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,1,62,4,NA,2,2,NA,NA,NA,NA,NA
"46","Mixed conifer meadow","6","Water Addition",2021,"seedbank",NA,NA,68,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,10,NA,1,38,1,NA,NA,NA,NA,NA,NA,NA,NA
"47","Mixed conifer meadow","7","Control",2021,"seedbank",NA,0,51,NA,NA,NA,NA,NA,NA,13,4,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,2,2,6,40,1,NA,NA,NA,NA,NA,NA,NA,NA
"48","Mixed conifer meadow","8","Water Exclusion",2021,"seedbank",NA,NA,97,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,5,NA,2,89,3,NA,NA,NA,1,NA,NA,NA,NA
"49","Mixed conifer meadow","9","Water Addition",2021,"seedbank",NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,14,NA,2,84,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Mixed conifer meadow","10","Water Exclusion",2021,"seedbank",NA,NA,42,NA,NA,NA,NA,NA,NA,NA,3,3,NA,2,NA,3,NA,NA,5,NA,NA,NA,NA,1,NA,0,60,NA,NA,NA,NA,1,NA,NA,NA,NA
"51","Mixed conifer meadow","11","Water Addition",2021,"seedbank",NA,0,15,NA,NA,NA,NA,NA,NA,13,6,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,12,1,5,103,5,3,NA,NA,NA,NA,NA,NA,NA
"52","Mixed conifer meadow","12","Control",2021,"seedbank",NA,NA,24,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,13,NA,6,78,1,NA,NA,1,NA,NA,NA,NA,NA
"53","Ponderosa pine meadow","1","Water Exclusion",2021,"seedbank",NA,5,NA,NA,NA,NA,NA,NA,NA,40,6,2,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"54","Ponderosa pine meadow","2","Control",2021,"seedbank",NA,2,NA,NA,2,NA,NA,NA,NA,14,6,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"55","Ponderosa pine meadow","3","Water Addition",2021,"seedbank",NA,5,NA,NA,NA,NA,NA,NA,NA,20,42,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,22,NA,NA,NA,2,1,NA,NA
"56","Ponderosa pine meadow","4","Water Exclusion",2021,"seedbank",NA,28,8,NA,NA,NA,NA,NA,NA,72,15,5,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,7,NA,NA,NA,1,1,1,NA
"57","Ponderosa pine meadow","5","Control",2021,"seedbank",NA,2,0,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA
"58","Ponderosa pine meadow","6","Control",2021,"seedbank",NA,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,4
"59","Ponderosa pine meadow","7","Water Exclusion",2021,"seedbank",NA,64,NA,NA,NA,NA,NA,NA,NA,32,1,1,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,4,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,1,4
"60","Ponderosa pine meadow","8","Water Addition",2021,"seedbank",3,9,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,5,11
"61","Ponderosa pine meadow","9","Water Addition",2021,"seedbank",NA,NA,NA,NA,NA,NA,NA,NA,NA,12,9,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,3,1,NA,NA
"62","Ponderosa pine meadow","10","Water Exclusion",2021,"seedbank",NA,18,NA,NA,NA,NA,NA,NA,NA,26,5,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA
"63","Ponderosa pine meadow","11","Control",2021,"seedbank",NA,17,NA,NA,NA,NA,NA,NA,NA,33,8,4,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"64","Ponderosa pine meadow","12","Water Addition",2021,"seedbank",NA,2,0,NA,NA,NA,NA,NA,NA,17,10,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,7,NA,NA,NA,1,NA,NA,NA
