"","Site","Plot","Treatment","Species","PFT","tottally","blanktot","totabun","relabun","Year","type"
"133","Arboretum","12","Water Addition","ANRO","PF",1,0,1,0.024390243902439,2021,"seedbank"
"134","Arboretum","12","Water Addition","ARCA","PF",1,0,1,0.024390243902439,2021,"seedbank"
"135","Arboretum","12","Water Addition","ARFE","PF",7,0,7,0.170731707317073,2021,"seedbank"
"136","Arboretum","12","Water Addition","ELEL","PG3",3,0,3,0.0731707317073171,2021,"seedbank"
"137","Arboretum","12","Water Addition","ERSP","A",17,0,17,0.414634146341463,2021,"seedbank"
"138","Arboretum","12","Water Addition","SPHA","PF",10,0,10,0.24390243902439,2021,"seedbank"
"139","Arboretum","12","Water Addition","TAOF","PF",3,1,2,0.0487804878048781,2021,"seedbank"
"140","Arboretum","12","Water Addition","VETH","A",3,4,0,0,2021,"seedbank"
"141","Black Point","1","Water Exclusion","SATR","A",0,0,0,NA,2021,"seedbank"
"142","Black Point","2","Water Exclusion","SATR","A",4,0,4,1,2021,"seedbank"
"143","Black Point","2","Water Exclusion","VETH","A",1,4,0,0,2021,"seedbank"
"144","Black Point","3","Control","PLJA","PG4",3,0,3,0.5,2021,"seedbank"
"145","Black Point","3","Control","SATR","A",3,0,3,0.5,2021,"seedbank"
"146","Black Point","4","Water Exclusion","BOER","PG4",3,0,3,0.230769230769231,2021,"seedbank"
"147","Black Point","4","Water Exclusion","PLJA","PG4",1,0,1,0.0769230769230769,2021,"seedbank"
"148","Black Point","4","Water Exclusion","SATR","A",2,0,2,0.153846153846154,2021,"seedbank"
"149","Black Point","4","Water Exclusion","SPHA","PF",7,0,7,0.538461538461538,2021,"seedbank"
"150","Black Point","5","Control","BOER","PG4",1,0,1,0.25,2021,"seedbank"
"151","Black Point","5","Control","CAJA","PF",1,0,1,0.25,2021,"seedbank"
"152","Black Point","5","Control","PLJA","PG4",2,0,2,0.5,2021,"seedbank"
"153","Black Point","5","Control","SATR","A",0,0,0,0,2021,"seedbank"
"154","Black Point","6","Control","SATR","A",1,0,1,1,2021,"seedbank"
"155","Black Point","7","Water Exclusion","ERFL","A",1,0,1,0.0666666666666667,2021,"seedbank"
"156","Black Point","7","Water Exclusion","PLJA","PG4",7,0,7,0.466666666666667,2021,"seedbank"
"157","Black Point","7","Water Exclusion","SATR","A",7,0,7,0.466666666666667,2021,"seedbank"
"158","Black Point","8","Control","DAPU","PG4",1,0,1,0.0666666666666667,2021,"seedbank"
"159","Black Point","8","Control","ERSP","A",2,0,2,0.133333333333333,2021,"seedbank"
"160","Black Point","8","Control","SATR","A",11,0,11,0.733333333333333,2021,"seedbank"
"161","Black Point","8","Control","SPHA","PF",1,0,1,0.0666666666666667,2021,"seedbank"
"162","Black Point","9","Water Addition","BOER","PG4",1,0,1,0.0434782608695652,2021,"seedbank"
"163","Black Point","9","Water Addition","CHSE","A",1,0,1,0.0434782608695652,2021,"seedbank"
"164","Black Point","9","Water Addition","PLJA","PG4",1,0,1,0.0434782608695652,2021,"seedbank"
"165","Black Point","9","Water Addition","SATR","A",20,0,20,0.869565217391304,2021,"seedbank"
"166","Black Point","10","Water Addition","BASC","A",2,0,2,0.125,2021,"seedbank"
"167","Black Point","10","Water Addition","BOER","PG4",1,0,1,0.0625,2021,"seedbank"
"168","Black Point","10","Water Addition","ERSP","A",1,0,1,0.0625,2021,"seedbank"
"169","Black Point","10","Water Addition","PLJA","PG4",2,0,2,0.125,2021,"seedbank"
"170","Black Point","10","Water Addition","SATR","A",10,0,10,0.625,2021,"seedbank"
"171","Black Point","10","Water Addition","TAOF","PF",1,1,0,0,2021,"seedbank"
"172","Black Point","11","Water Addition","ERFL","A",1,0,1,0.2,2021,"seedbank"
"173","Black Point","11","Water Addition","PLJA","PG4",4,0,4,0.8,2021,"seedbank"
"174","Black Point","11","Water Addition","SATR","A",0,0,0,0,2021,"seedbank"
"175","Black Point","12","Water Addition","ERFL","A",1,0,1,0.25,2021,"seedbank"
"176","Black Point","12","Water Addition","SATR","A",3,0,3,0.75,2021,"seedbank"
"177","Blank","3","Blank","POOL","A",1,1,0,NA,2021,"seedbank"
"178","Blank","6","Blank","TAOF","PF",1,1,0,NA,2021,"seedbank"
"179","Blank","10","Blank","POOL","A",1,1,0,NA,2021,"seedbank"
"180","Blank","10","Blank","TAOF","PF",1,1,0,NA,2021,"seedbank"
"181","Blank","11","Blank","VETH","A",4,4,0,NA,2021,"seedbank"
"182","Blue Chute","1","Water Addition","BASC","A",7,0,7,0.7,2021,"seedbank"
"183","Blue Chute","1","Water Addition","BOGR","PG4",3,0,3,0.3,2021,"seedbank"
"184","Blue Chute","2","Control","BASC","A",1,0,1,0.0555555555555556,2021,"seedbank"
"185","Blue Chute","2","Control","BOGR","PG4",6,0,6,0.333333333333333,2021,"seedbank"
"186","Blue Chute","2","Control","CAJA","PF",1,0,1,0.0555555555555556,2021,"seedbank"
"187","Blue Chute","2","Control","ELEL","PG3",2,0,2,0.111111111111111,2021,"seedbank"
"188","Blue Chute","2","Control","ERSP","A",2,0,2,0.111111111111111,2021,"seedbank"
"189","Blue Chute","2","Control","MEAL","A",1,0,1,0.0555555555555556,2021,"seedbank"
"190","Blue Chute","2","Control","SATR","A",5,0,5,0.277777777777778,2021,"seedbank"
"191","Blue Chute","3","Control","BASC","A",3,0,3,0.428571428571429,2021,"seedbank"
"192","Blue Chute","3","Control","BOGR","PG4",4,0,4,0.571428571428571,2021,"seedbank"
"193","Blue Chute","3","Control","TAOF","PF",1,1,0,0,2021,"seedbank"
"194","Blue Chute","4","Water Exclusion","BASC","A",1,0,1,0.25,2021,"seedbank"
"195","Blue Chute","4","Water Exclusion","BOGR","PG4",1,0,1,0.25,2021,"seedbank"
"196","Blue Chute","4","Water Exclusion","ELEL","PG3",2,0,2,0.5,2021,"seedbank"
"197","Blue Chute","5","Control","BASC","A",1,0,1,0.166666666666667,2021,"seedbank"
