"","Site","Plot","Treatment","Year","type","BOER","CHSES","KOAM","PLJA","SATR","CAJA","CHEN","LILE","SPHA","UKFO","ACMI","ARCA","ARFE","ASHU","COAR","ERFL","LASE","LUKI","PLRI","POHI","PSMO","TRDU","UKGR","ALGE","ANRO","BOGR","BRPO","ELEL","EPBR","FEAR","MUMO","MURI","PODO","CAGE","CIWH","ERRA","MESP","POOL","ERFO","PEVI","ATCO","EPVI","DAPU","SPAI","KRLA","CHRE","ERNA","GUSA","HECO","JUMO","CHER","HELO","ZIGR","ARPU","BOGR ","SOEL","GLGO","CHDE","STTE","ATCA","CAPA","GETR","IRMI","POPR","ROWO","VETH","VIAM","ASSP","LUAR","HYHO","TAOF","PTAQ"
"21","Arboretum","9","Water Addition",2021,"aboveground",NA,NA,NA,NA,NA,NA,NA,0.000801603206412826,NA,0.00200400801603206,0.0216432865731463,0.12064128256513,0.011623246492986,0.00400801603206413,NA,0.00440881763527054,0.0661322645290581,0.128256513026052,NA,0.214428857715431,NA,NA,NA,NA,NA,0.018436873747495,NA,0.07374749498998,0.075751503006012,0.125450901803607,0.0865731462925852,NA,0.0120240480961924,NA,NA,NA,NA,NA,NA,0.0340681362725451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Arboretum","10","Water Exclusion",2021,"aboveground",NA,0.00535004585753592,NA,NA,NA,NA,NA,NA,NA,0.00183430143686946,NA,0.0152858453072455,0.0206358911647814,0.172730051971874,NA,0.0359217364720269,NA,0.107000917150718,NA,0.343931519413024,NA,0.1681442983797,NA,NA,0.00152858453072455,0.00535004585753592,NA,0.0152858453072455,NA,0.0458575359217365,NA,NA,0.00764292265362275,NA,NA,0.0535004585753592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Arboretum","11","Control",2021,"aboveground",NA,NA,NA,NA,NA,NA,0.00255994538783173,0.00213328782319311,NA,NA,0.103251130642546,0.183462752794607,0.000853315129277242,NA,NA,0.00162129874562676,0.0115197542452428,0.0452257018516938,NA,0.290127143954262,0.00426657564638621,0.0298660295247035,NA,0.00853315129277242,NA,0.00213328782319311,NA,0.0127997269391586,0.0981312398668828,0.0571721136615752,0.0170663025855448,0.127997269391586,0.00127997269391586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Arboretum","12","Water Addition",2021,"aboveground",NA,NA,NA,NA,NA,NA,0.000356531660011409,0.000713063320022818,NA,0.00713063320022818,0.0160439247005134,0.15687393040502,0.00926982316029663,0.0730889903023388,NA,0.000285225328009127,0.000356531660011409,0.00926982316029663,NA,0.356531660011409,NA,NA,NA,NA,0.0135482030804335,0.0695236737022248,NA,0.0356531660011409,NA,0.160439247005134,0.0477752424415288,0.0320878494010268,0.000356531660011409,NA,NA,0.0106959498003423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Black Point","1","Water Exclusion",2021,"aboveground",0.0274725274725275,0.0274725274725275,NA,NA,0.148351648351648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.796703296703297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Black Point","2","Water Exclusion",2021,"aboveground",0.0168634064080944,0.130691399662732,NA,NA,0.345699831365936,NA,NA,NA,0.000843170320404722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.505902192242833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Black Point","3","Control",2021,"aboveground",0.313092979127135,0.240986717267552,NA,NA,0.265654648956357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.180265654648956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Black Point","4","Water Exclusion",2021,"aboveground",0.232732732732733,0.0127627627627628,NA,NA,0.00375375375375375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.750750750750751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Black Point","5","Control",2021,"aboveground",0.157212317666126,0.177471636952998,NA,NA,0.421393841166937,NA,NA,NA,0.000810372771474879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.243111831442464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Black Point","6","Control",2021,"aboveground",0.217654171704958,0.367593712212817,NA,NA,0.362756952841596,NA,NA,NA,0.00362756952841596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0483675937122128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Black Point","7","Water Exclusion",2021,"aboveground",0.0121951219512195,0.0048780487804878,NA,NA,0.251219512195122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.536585365853659,0.195121951219512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
